ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
897ce612-cd0f-4fe9-88e8-fce92daff442,2019-12-16T15:38:25.008Z,2019-12-16T15:40:02.000Z,filippo.gal13@gmail.com,"Curb ramps",45.517426,9.191441,6,5040450,514952,32T,"Curb ramps",2,,
2c98a7db-b344-4e3d-ae75-cdad93fe919c,2019-12-16T15:37:55.803Z,2019-12-16T15:40:00.000Z,filippo.gal13@gmail.com,"Curb ramps",45.517254,9.191365,6,5040431,514946,32T,"Curb ramps",2,,
b2a8ba6a-6771-447f-a2b3-96763c6f38eb,2019-12-16T15:36:25.624Z,2019-12-16T15:39:59.000Z,filippo.gal13@gmail.com,"Width of sidewalk",45.517239,9.191422,5,5040429,514950,32T,"Width of sidewalk",1,,
0f7fb400-1012-4c3b-b194-083d759c6386,2019-12-16T15:32:50.773Z,2019-12-16T15:39:57.000Z,filippo.gal13@gmail.com,"Curb ramps",45.517202,9.191184,5,5040425,514932,32T,"Curb ramps",2,,
17fe594d-0acf-4fd5-aec3-e263a9fe69c6,2019-12-16T15:32:17.120Z,2019-12-16T15:39:56.000Z,filippo.gal13@gmail.com,Lighting,45.517015,9.191015,5,5040404,514918,32T,Lighting,4,,
7508617b-e0f8-4cc4-8037-c77beca83d9f,2019-12-16T15:30:55.340Z,2019-12-16T15:39:54.000Z,filippo.gal13@gmail.com,"On-street parking",45.516743,9.190875,4,5040374,514908,32T,"On-street parking",0,,
ecfcf5db-4e7e-4f9b-bf52-cb72c900b356,2019-12-16T15:27:05.656Z,2019-12-16T15:39:53.000Z,filippo.gal13@gmail.com,"Curb ramps",45.516341,9.19097,7,5040329,514915,32T,"Curb ramps",2,,
6558496f-52df-4df6-b058-7511cb817807,2019-12-16T15:25:51.320Z,2019-12-16T15:39:52.000Z,filippo.gal13@gmail.com,"Width of sidewalk",45.516077,9.191209,5,5040300,514934,32T,"Width of sidewalk",4.5,,
c434679a-c135-471d-af19-20f08e868507,2019-12-16T15:20:36.729Z,2019-12-16T15:20:56.000Z,filippo.gal13@gmail.com,Lighting,45.515696,9.192335,5,5040258,515022,32T,Lighting,4,,
3aa4fc96-cd03-4cab-84cd-c5ed7f667b68,2019-12-16T15:18:18.922Z,2019-12-16T15:20:55.000Z,filippo.gal13@gmail.com,"Width of sidewalk",45.516234,9.191895,7,5040317,514987,32T,"Width of sidewalk",1,,
