ec5_uuid,created_at,uploaded_at,created_by,title,lat_1_Coordinates,long_1_Coordinates,accuracy_1_Coordinates,UTM_Easting_1_Coordinates,UTM_Northing_1_Coordinates,UTM_Zone_1_Coordinates,2_Data_Type,3_Value,4_Take_a_note_if_hel,5_Take_a_picture_if_
4a4a590c-6c38-41d1-9e15-85be1b4aceb0,2019-12-16T15:37:09.203Z,2019-12-16T15:40:43.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.517334,9.191636,5,5040440,514967,32T,Lighting,3,,
661a1254-a932-4b34-bdd7-767b87ad287d,2019-12-16T15:34:42.151Z,2019-12-16T15:40:42.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.517041,9.190658,6,5040407,514891,32T,Lighting,9,,
1aa1661d-4a92-4987-ae6b-fe29b264d660,2019-12-16T15:33:45.803Z,2019-12-16T15:40:40.000Z,gianmarco.cassedy.poggi@gmail.com,"On-street parking",45.517104,9.190829,4,5040414,514904,32T,"On-street parking",1,,
4dc71002-9287-480b-86ca-fee5ff2bb223,2019-12-16T15:33:17.718Z,2019-12-16T15:40:39.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.517009,9.190767,5,5040403,514899,32T,"Width of sidewalk",1,,
30b5f833-43ea-4256-be33-eeace30b742d,2019-12-16T15:32:09.652Z,2019-12-16T15:32:26.000Z,gianmarco.cassedy.poggi@gmail.com,"Curb ramps",45.517053,9.191038,4,5040408,514920,32T,"Curb ramps",1,,
8dae20be-e9a3-4865-897b-6d68c0d3ea4d,2019-12-16T15:29:21.492Z,2019-12-16T15:32:25.000Z,gianmarco.cassedy.poggi@gmail.com,"On-street parking",45.516488,9.190517,6,5040345,514880,32T,"On-street parking",1,,
e4818b7d-7b0e-4c1f-9338-1dd2a38a37f7,2019-12-16T15:28:59.958Z,2019-12-16T15:32:23.000Z,gianmarco.cassedy.poggi@gmail.com,Lighting,45.516467,9.1905,5,5040343,514878,32T,Lighting,7,,
6a645411-e692-4658-b1b6-1efa7746dcb1,2019-12-16T15:28:32.131Z,2019-12-16T15:32:22.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.516505,9.19063,8,5040347,514888,32T,"Width of sidewalk",2.5,,
755876ee-cf6c-491a-9f1d-3ea089579968,2019-12-16T15:27:58.106Z,2019-12-16T15:32:21.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.516459,9.190979,5,5040342,514916,32T,"Width of sidewalk",4.5,,
559c469f-8f3b-47f8-970a-b9b1a9878b75,2019-12-16T15:27:15.132Z,2019-12-16T15:32:19.000Z,gianmarco.cassedy.poggi@gmail.com,"Curb ramps",45.516488,9.190924,3,5040346,514911,32T,"Curb ramps",2,,
4e7c46cc-f7f2-401d-b7d0-5bb9b5f4101e,2019-12-16T15:20:02.168Z,2019-12-16T15:32:18.000Z,gianmarco.cassedy.poggi@gmail.com,"Width of sidewalk",45.515665,9.192172,6,5040254,515009,32T,"Width of sidewalk",2,,
0348ab3b-8661-4cca-84a7-43ee84e92414,2019-12-16T15:18:32.478Z,2019-12-16T15:32:17.000Z,gianmarco.cassedy.poggi@gmail.com,Buffer,45.516176,9.192353,8,5040311,515023,32T,Buffer,10,,
