2_Data_Typ,sourceid,roadname,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
Curb ramps,"265635874",Via Val di Ledro,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Lighting,"23450086",Via Paulucci di Calboli Fulcieri,"2","2",5,6,1,11,5.5,5.5,0.5,5,5,5,6,1
Width of sidewalk,"23450086",Via Paulucci di Calboli Fulcieri,"1","1",1.2,1.2,0,1.2,1.2,1.2,0,1.2,1.2,1.2,1.2,0
Curb ramps,"265635866",Via Giovanni Terruggia,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of sidewalk,"265635866",Via Giovanni Terruggia,"1","1",2,2,0,2,2,2,0,2,2,2,2,0
Curb ramps,"23450309",Via privata Cesare Spellanzon,"1","1",2,2,0,2,2,2,0,2,2,2,2,0
On-street parking,"23450309",Via privata Cesare Spellanzon,"1","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of sidewalk,"23450309",Via privata Cesare Spellanzon,"1","1",3.5,3.5,0,3.5,3.5,3.5,0,3.5,3.5,3.5,3.5,0
Lighting,"23450309",Via privata Cesare Spellanzon,"1","1",3,3,0,3,3,3,0,3,3,3,3,0
On-street parking,"23450361",Via privata Hermada,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Lighting,"23450361",Via privata Hermada,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
Number of lanes,"23450361",Via privata Hermada,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of sidewalk,"23450361",Via privata Hermada,"2","2",3,4,1,7,3.5,3.5,0.5,3,3,3,4,1
Curb ramps,"23229253",Via Val di Ledro,"2","2",1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
On-street parking,"23229253",Via Val di Ledro,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Lighting,"23229253",Via Val di Ledro,"1","1",7,7,0,7,7,7,0,7,7,7,7,0
Width of sidewalk,"23229253",Via Val di Ledro,"1","1",2,2,0,2,2,2,0,2,2,2,2,0
Width of bike lane and shoulder,"265635872",Via Val di Ledro,"1","1",0.15,0.15,0,0.15,0.15,0.15,0,0.15,0.15,0.15,0.15,0
Curb ramps,"265635872",Via Val di Ledro,"2","1",2,2,0,4,2,2,0,2,2,2,2,0
Lighting,"265635872",Via Val di Ledro,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
Buffer,"265929585",Via Luigi Ornato,"1","1",0.3,0.3,0,0.3,0.3,0.3,0,0.3,0.3,0.3,0.3,0
Curb ramps,"265929584",Via Gian Battista Passerini,"1","1",2,2,0,2,2,2,0,2,2,2,2,0
Width of bike lane and shoulder,"265929584",Via Gian Battista Passerini,"1","1",0.15,0.15,0,0.15,0.15,0.15,0,0.15,0.15,0.15,0.15,0
Buffer,"265929584",Via Gian Battista Passerini,"2","2",1,2.2,1.2,3.2,1.6,1.6,0.6,1,1,1,2.2,1.2
Lighting,"265929584",Via Gian Battista Passerini,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
Width of sidewalk,"265929584",Via Gian Battista Passerini,"1","1",3,3,0,3,3,3,0,3,3,3,3,0
Number of lanes,"23450443",Via Giovanni Terruggia,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Lighting,"23450443",Via Giovanni Terruggia,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
Width of sidewalk,"265635874",Via Val di Ledro,"1","1",3.5,3.5,0,3.5,3.5,3.5,0,3.5,3.5,3.5,3.5,0
Lighting,"265635874",Via Val di Ledro,"1","1",4,4,0,4,4,4,0,4,4,4,4,0
Width of bike lane and shoulder,"23450310",Via Val d'Ossola,"1","1",0.15,0.15,0,0.15,0.15,0.15,0,0.15,0.15,0.15,0.15,0
On-street parking,"23450310",Via Val d'Ossola,"1","1",0.9,0.9,0,0.9,0.9,0.9,0,0.9,0.9,0.9,0.9,0
Lighting,"23450310",Via Val d'Ossola,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
Curb ramps,"23450310",Via Val d'Ossola,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
On-street parking,"23450307",Via privata Paolo Rotta,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Lighting,"23450307",Via privata Paolo Rotta,"1","1",7,7,0,7,7,7,0,7,7,7,7,0
Width of sidewalk,"23450307",Via privata Paolo Rotta,"2","2",2.5,4.5,2,7,3.5,3.5,1,2.5,2.5,2.5,4.5,2
Curb ramps,"23450307",Via privata Paolo Rotta,"1","1",2,2,0,2,2,2,0,2,2,2,2,0
On-street parking,"23450312",Via Val d'Ossola,"1","1",0.8,0.8,0,0.8,0.8,0.8,0,0.8,0.8,0.8,0.8,0
Lighting,"23450312",Via Val d'Ossola,"1","1",4,4,0,4,4,4,0,4,4,4,4,0
Width of sidewalk,"265635871",Via Val d'Ossola,"2","2",1.5,2,0.5,3.5,1.75,1.75,0.25,1.5,1.5,1.5,2,0.5
Lighting,"265635871",Via Val d'Ossola,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
Curb ramps,"141332059",Via Luigi Ornato,"2","2",1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
Lighting,"141332059",Via Luigi Ornato,"1","1",4,4,0,4,4,4,0,4,4,4,4,0
On-street parking,"265929588",Via Luigi Ornato,"1","1",0,0,0,0,0,0,0,0,0,0,0,0
Lighting,"271626108",Via Paulucci di Calboli Fulcieri,"1","1",4,4,0,4,4,4,0,4,4,4,4,0
Width of sidewalk,"271626108",Via Paulucci di Calboli Fulcieri,"2","2",1,2,1,3,1.5,1.5,0.5,1,1,1,2,1
Buffer,"271626108",Via Paulucci di Calboli Fulcieri,"1","1",0.1,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0
Curb ramps,"265929587",Via Luigi Ornato,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Lighting,"23450442",Via Giovanni Terruggia,"1","1",9,9,0,9,9,9,0,9,9,9,9,0
On-street parking,"23450442",Via Giovanni Terruggia,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Width of sidewalk,"23450442",Via Giovanni Terruggia,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Curb ramps,"211245922",Via Luigi Ornato,"2","1",2,2,0,4,2,2,0,2,2,2,2,0
Width of sidewalk,"211245922",Via Luigi Ornato,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
On-street parking,"211245922",Via Luigi Ornato,"1","1",0,0,0,0,0,0,0,0,0,0,0,0
Width of bike lane and shoulder,"34587912",Via Luigi Ornato,"1","1",0.35,0.35,0,0.35,0.35,0.35,0,0.35,0.35,0.35,0.35,0
Width of sidewalk,"34587912",Via Luigi Ornato,"2","2",2,7,5,9,4.5,4.5,2.5,2,2,2,7,5
On-street parking,"34587912",Via Luigi Ornato,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Lighting,"34587912",Via Luigi Ornato,"1","1",1,1,0,1,1,1,0,1,1,1,1,0
Lighting,"286868369",Via Gian Battista Passerini,"1","1",6,6,0,6,6,6,0,6,6,6,6,0
