sourceid,PT,POI,Sr,Vm,PC,Buffer,Curb ramps,Lighting,Number of lanes,On-street parking,Width of bike lane and shoulder,Width of sidewalk,services,plos,plos_e
23228983,2,0,60,520.88,2,0.0,1.0,16.0,1.0,1.0,0.15,2.0,1.0,2.2820408231792024,1.6570408231792024
23229253,0,0,40,342.33,2,0.0,1.5,7.0,1.0,1.0,0.15,2.0,0.0,1.566958037466403,1.191958037466403
23450086,0,0,60,724.46,0,0.0,1.0,5.5,1.0,0.0,0.15,1.2,1.0,4.027757612820939,3.652757612820939
23450307,0,0,60,635.3,2,0.0,2.0,7.0,1.0,1.0,0.3,3.5,0.0,2.4270319278461354,2.0520319278461354
23450309,0,0,40,198.35,2,0.0,2.0,3.0,1.0,1.0,0.15,3.5,0.0,1.1334276461098405,0.7584276461098405
23450310,0,0,40,327.3,1,0.0,1.0,6.0,1.0,0.9,0.15,1.5,0.0,1.6671003108059628,1.2921003108059628
23450312,0,0,40,330.58,0,0.0,0.0,4.0,1.0,0.8,0.15,1.5,1.0,1.754322539238669,1.504322539238669
23450312,0,0,40,330.58,0,0.0,0.0,4.0,1.0,0.8,0.15,1.5,1.0,1.754322539238669,1.504322539238669
23450312,0,0,40,330.58,0,0.0,0.0,4.0,1.0,0.8,0.15,1.5,1.0,1.754322539238669,1.504322539238669
23450312,0,0,40,330.58,0,0.0,0.0,4.0,1.0,0.8,0.15,1.5,1.0,1.754322539238669,1.504322539238669
23450312,0,0,40,330.58,0,0.0,0.0,4.0,1.0,0.8,0.15,1.5,1.0,1.754322539238669,1.504322539238669
23450312,0,0,40,330.58,0,0.0,0.0,4.0,1.0,0.8,0.15,1.5,1.0,1.754322539238669,1.504322539238669
23450312,0,0,40,330.58,0,0.0,0.0,4.0,1.0,0.8,0.15,1.5,1.0,1.754322539238669,1.504322539238669
23450312,0,0,40,330.58,0,0.0,0.0,4.0,1.0,0.8,0.15,1.5,1.0,1.754322539238669,1.504322539238669
23450361,0,0,60,526.39,1,0.0,1.0,6.0,1.0,1.0,0.15,3.5,1.0,2.1886001818226406,1.6886001818226406
23450442,1,0,60,864.46,2,1.0,1.0,9.0,1.0,1.0,0.15,1.0,1.0,3.0190861887308476,2.3940861887308476
23450443,0,0,40,342.33,0,1.0,1.0,6.0,1.0,1.0,0.15,2.0,1.0,1.475995501124026,1.100995501124026
23450444,0,0,40,327.3,1,0.0,1.0,1.0,1.0,1.0,0.15,2.0,0.0,1.5327647874664025,1.1577647874664025
34587912,0,0,60,736.81,0,0.3,1.0,1.0,1.0,1.0,0.35,4.5,0.0,2.492831029528169,2.242831029528169
59228548,0,0,60,669.89,0,0.0,1.0,16.0,1.0,1.0,0.15,2.0,0.0,2.6210385731792023,2.3710385731792023
59228548,0,0,60,669.89,0,0.0,1.0,16.0,1.0,1.0,0.15,2.0,0.0,2.6210385731792023,2.3710385731792023
59228548,0,0,60,669.89,0,0.0,1.0,16.0,1.0,1.0,0.15,2.0,0.0,2.6210385731792023,2.3710385731792023
59228548,0,0,60,669.89,0,0.0,1.0,16.0,1.0,1.0,0.15,2.0,0.0,2.6210385731792023,2.3710385731792023
59228548,0,0,60,669.89,0,0.0,1.0,16.0,1.0,1.0,0.15,2.0,0.0,2.6210385731792023,2.3710385731792023
