DENOMINAZI;sourceid
La Compagnia dei Birichini;23450086
CSS Comunita Socio Sanitaria E Beltrami CSS;265635866
Villa Clerici - Galleria D'arte Sacra dei;265635866
"Centro di Consultazione Psicopedagogica ""Villa";265635866
CDD C C Colombo Vanzago;265635866
Centro Diurno Pangea;265635866
Mondo Piccino;265635866
Cipm Centro Italiano per la Promozione della;271626109
G. Cassinis;271626109
Teatro della Cooperativa;23450361
Cassinis Gino - Trasferita in Via Calboli 1 Via;23450361
Progetti di accoglienza;23450361
Progetti di accoglienza;265635872
CSS Comunita Socio Sanitaria E Beltrami CSS;23450443
Villa Clerici - Galleria D'arte Sacra dei;23450443
"Centro di Consultazione Psicopedagogica ""Villa";23450443
CDD C C Colombo Vanzago;23450443
Centro Diurno Pangea;23450443
Mondo Piccino;23450443
Progetti di accoglienza;265635874
La Compagnia dei Birichini;265929586
Progetti di accoglienza;23450312
Cipm Centro Italiano per la Promozione della;271626108
G. Cassinis;271626108
Progetti di accoglienza;265635874
Malnati Federico;23450442
La Compagnia dei Birichini;211245922
Biblioteca Niguarda;286868369
Sedi Anagrafe Decentrate Zona 9 Niguarda;286868369
Zona Niguarda;286868369
CAD Centro Aggregazione Disabili;286868370
SFA Servizi Formazione Autonomia;286868370
Ornato;286868370
Locchi;23228983
G. Cassinis;23228983
Stazione Termica;
Argomm Teatro;
Scuola Paritaria - Cesari 42;
Duca degli Abruzzi;
Cc Cesari;
Centro Sportivo Pozzo - Polisporitva Lombardia;
Polizia di Stato - Centro di Formazione;
Depuratore Bresso - Seveso Sud;
Campi Sportivi - Parco Nord;
Esercito;
III Reparto Mobile;
"Reparto Prevenzione Crimine ""Lombardia""";
Cirie' 12;
Scuola Paritaria - Cirie' Girola 10;
Palletta 6;
Presidio Osp. Niguarda CÃ  Granda;
Asl UnitÃ  Operativa;
Consultorio Pediatrico;
CDD Cherasco;
Servizio sociale specialistico territoriale zona 9;
Val D'ossola 5;
Scuola Paritaria - Monterotondo 10;
Gatti F.;
The British American Preschool S.a.s.;
Scuola Paritaria - The Bilingual European School;
Cag Cirie';
Centro di Educazione Permanente;
Centro Aggregativo Multifunzionale - Cam;
Iiss B. Russell;
Bertrand Russel;
Bertrand Russel;
Piscina Scarioni;
Parkour;
Centro Girola;
CDI Girola;
Scuola Paritaria - Maria Immacolata;
Scuola Paritaria - Maria Immacolata;
Maria Ausiliatrice;
Ca' Granda;
Comune di Milano - Civiche Depositerie;
Presidio Ospedaliero Ospedale Niguarda Ca';
Milano Niguarda Ca' Granda - Upg;
Azienda Ospedaliera Ospedale Niguarda Ca';
Sezione Ospedaliera C/o Ospedale Niguarda;
Speciale C/o Ospedale Maggiore Niguarda;
Sezione Ospedaliera C/o Ospedale Maggiore;
Posto di P.s. C/o Ospedale Niguarda;
Universita' degli Studi - Istituto di Chirurgia;
Ospedale Niguarda Ca' Granda;
Ospedale Niguarda Ca' Granda;
Presidio Osp. Niguarda CÃ  Granda;
Centro di Medicina Iperbarica CÃ  Granda;
Ospedale Niguarda Ca' Granda;
Ospedale Niguarda Ca' Granda;
Centro Clinico Nemo - Fondazione Serena;
AUS Niguarda;
A2A ElettricitÃ  - Ss Elettrica Suzzani;
Mm - Stazione Suzzani;
III e IV Reparto Rete;
Comune di Milano - Civiche Depositerie;
Suzzani 264;
Scuola Paritaria - F.lli Grimm 11;
Giovanni Battista Pirelli;
Scuola Paritaria - T.mann;
Bambini Bicocca;
Cc Mann;
Universita' degli Studi Bicocca - Scienze Umane;
Falcone - Borsellino;
Sandro Pertini;
Suzzani;
Custode Sociale;
SSPT Servizio Sociale Professionale Territoriale;
CDI Centro Diurno Integrato Giolli;
Verga Giovanni;
Piscina Suzzani;
Gesu' Divin Lavoratore;
Teatro di Piazza San Giuseppe;
Universita' Cattolica del Sacro Cuore - Centro;
Comunale N.41;
Pensionato;
Mm - Servizio Idrico Integrato;
Ebs European Business School;
Gesu' Divin Lavoratore;
Polizia di Stato - Caserma;
CSRC Polo Santa Monica;
Appartamento;
L'altra Associazione Onlus;
CSE Centro Socio Educativo;
Milano Succ. 78 - Upg;
Appartamento;
S. Carlo Alla Ca' Granda;
Depuratore Bresso - Seveso Sud;
Palanzone 10;
Settore Parchi e Giardini;
Stazione Carabinieri;
S. Martino In Niguarda;
"Fondazione Clerici - ""Maria Belloni""";
S. Dionigi In Pratocentenaro;
Asd Niguarda Calcio;
CSRC Ermanno Masini;
Dr Pediatra Iulitta Paola;
Dr Pediatra Marzano Daniela;
Itis L. Galvani;
Lss Galvani;
Ecomuseo Urbano di Niguarda;
Mic Museo Interattivo del Cinema;
Mic Museo Interattivo del Cinema - Library;
Fondazione Milano - Civica Scuola di Cinema;
Centro Sperimentale di Cinematografia;
S. Carlo Alla Ca' Granda;
Consolato Generale Onorario di Sierra Leone;
ProgettoCasa Alloggio Erika;
Milano Succ. 97 - Upg;
Pubblica Assistenza Niguarda;
Scuola Paritaria - Paolo Santagostino;
Milano Succ. 69 - Upg;
Inps - Agenzia di Produzione Milano Niguarda;
Milano Succ. 78 - Upg;
Baby Gioco;
Seconda Stella A Destra;
Auditorium Ca' Granda;
La Nuvola Blu;
Calderara Giuseppe;
Cgil Sindacato Pensionati Italiani;
Inps - Uo Niguarda;
Niguarda Soccorso;
Bicocca;
Ca' Granda;
Comunale N.8;
Comunale N.10;
Comunale N.16;
Niguarda;
Suzzani;
;
;
;
;
;
;
;
