
sourceid;Buffer;Curb ramps;Lighting;Number of lanes;On-street parking;Width of bike lane and shoulder;Width of sidewalk
23228983;0.0;1.0;16.0;1.0;1.0;0.15;2.0
23229253;0.0;1.5;7.0;1.0;1.0;0.15;2.0
23450086;0.0;1.0;5.5;1.0;0.0;0.15;1.2
23450307;0.0;2.0;7.0;1.0;1.0;0.3;3.5
23450309;0.0;2.0;3.0;1.0;1.0;0.15;3.5
23450310;0.0;1.0;6.0;1.0;0.9;0.15;1.5
23450312;0.0;0.0;4.0;1.0;0.8;0.15;1.5
23450361;0.0;1.0;6.0;1.0;1.0;0.15;3.5
23450442;1.0;1.0;9.0;1.0;1.0;0.15;1.0
23450443;1.0;1.0;6.0;1.0;1.0;0.15;2.0
23450444;0.0;1.0;1.0;1.0;1.0;0.15;2.0
34587912;0.3;1.0;1.0;1.0;1.0;0.35;4.5
59228548;0.0;1.0;16.0;1.0;1.0;0.15;2.0
141332059;0.0;1.5;4.0;1.0;0.0;0.3;1.0
147963534;1.0;1.0;9.0;1.0;1.0;0.15;1.0
211245922;0.0;2.0;1.0;1.0;0.0;0.3;1.0
265635866;0.0;1.0;1.0;1.0;1.0;0.15;2.0
265635871;0.0;1.0;6.0;1.0;0.9;0.15;1.75
265635872;0.0;2.0;6.0;1.0;1.0;0.15;3.5
265635874;0.0;1.0;4.0;1.0;1.0;0.15;3.5
265929583;0.0;1.0;5.5;1.0;0.0;0.15;1.2
265929584;1.6;2.0;6.0;1.0;1.0;0.15;3.0
265929585;0.0;1.0;1.0;1.0;0.0;0.3;1.5
265929586;0.0;2.0;1.0;1.0;0.0;0.3;1.0
265929587;0.0;1.0;1.0;1.0;1.0;0.3;2.0
265929588;0.0;1.0;1.0;1.0;0.0;0.3;3.5
265929589;0.0;1.0;1.0;1.0;1.0;0.3;2.0
265929591;0.0;1.0;1.0;1.0;1.0;0.3;2.0
271626108;0.1;0.0;4.0;1.0;1.0;0.15;1.5
271626109;0.1;0.0;4.0;1.0;1.0;0.15;1.5
286868369;0.0;2.0;6.0;1.0;0.0;0.15;1.2
286868370;0.0;2.0;7.0;1.0;0.0;0.225;2.85
